Fecha de la Medida,Hora de la Medida,V12_Avg [V],V23_Avg [V],V31_Avg [V],I1_Avg [A],I2_Avg [A],I3_Avg [A],Pt+_Avg [W],Qti+_Avg [VAR],St+_Avg [VA],freq_Avg [Hz],P12+_Avg [W],S12+_Avg [VA],P12/S12 (FP12),P32+_Avg [W],S32+_Avg [VA],P32/S32 (FP32),thdV12_Avg [%],thdV23_Avg [%],thdV31_Avg [%],thdI1_Avg [%],thdI2_Avg [%],thdI3_Avg [%],Eat+_Avg [Wh],COMSUMO CALCULADO,,PD,,DBV1,DBV2,DBV3,DBI1,DBI2,DBI3,FPT,,PST1,PST2,PST3
14/01/2013,1:30:00 p. m.,433.8,434.8,432.8,7.339,7.522,6.195,5052,646.4,5093,59.99,2621,3184,0.823178392,2431,2694,0.90237565,2.369,2.264,2.419,7.679,12.02,9.874,12407.58,84.20,,4907.00,,0,0.230520977,0.230520977,4.564019757,7.171352584,11.73537234,0.991949735,,0,0.1,0.1
14/01/2013,1:35:00 p. m.,434.3,435.2,433.3,7.377,7.556,6.221,5079,647.7,5120,60,2638,3204,0.823345818,2441,2707,0.901736239,2.342,2.251,2.404,7.722,12.03,9.835,12830.83,84.65,,4880.00,,0.007675775,0.214921707,0.222597482,4.618511865,7.157038858,11.77555072,0.991992188,,0.2,0.2,0.5
14/01/2013,1:40:00 p. m.,434.1,434.9,433,7.269,7.457,6.118,4995,645.4,5036,60.01,2595,3155,0.822503962,2399,2661,0.901540774,2.332,2.265,2.4,7.741,12.1,10.02,13247.08,83.25,,4964.00,,0.023041475,0.207373272,0.230414747,4.620034542,7.325849165,11.94588371,0.991858618,,0.3,0.1,0.2
14/01/2013,1:45:00 p. m.,433.9,434.6,432.5,7.129,7.321,5.969,4883,644.3,4925,60.03,2542,3093,0.821855803,2340,2594,0.902081727,2.35,2.29,2.42,7.941,12.37,10.26,13654,81.38,,5075.00,,0.053804766,0.215219062,0.269023828,4.740682697,7.561584798,12.3022675,0.991472081,,0.4,0.6,0.8
14/01/2013,1:50:00 p. m.,433.8,434.6,432.4,6.876,7.084,5.705,4683,639.7,4727,59.99,2446,2983,0.819979886,2237,2479,0.902379992,2.329,2.268,2.405,8.068,12.73,10.59,14044.25,78.05,,5273.00,,0.046125461,0.230627306,0.276752768,4.897025172,8.070175439,12.96720061,0.990691771,,0.3,0.3,0.6
14/01/2013,1:55:00 p. m.,434.1,434.9,432.9,6.879,7.107,5.732,4698,622.5,4739,60.03,2451,2986,0.820830543,2246,2493,0.900922583,2.288,2.269,2.364,8.184,12.61,10.56,14435.75,78.30,,5261.00,,0.030724326,0.215070282,0.245794608,4.660716097,8.129627751,12.79034385,0.991348386,,0.2,0.3,0.4
14/01/2013,2:00:00 p. m.,433.5,434.5,432.3,6.644,6.89,5.495,4517,622.7,4560,60.03,2361,2880,0.819791667,2156,2388,0.902847571,2.23,2.243,2.314,8.228,12.84,10.81,14812.17,75.28,,5440.00,,0.015381066,0.246097055,0.26147812,4.745388617,8.623679647,13.36906826,0.990570175,,0.3,0.1,0.1
14/01/2013,2:05:00 p. m.,433.7,434.4,432.1,6.64,6.878,5.48,4508,626.9,4552,60.03,2359,2879,0.81938173,2149,2381,0.902561949,2.231,2.256,2.335,8.185,12.84,10.88,15187.83,75.13,,5448.00,,0.06922012,0.230733733,0.299953853,4.853142436,8.611432782,13.46457522,0.990333919,,0.4,0.5,0.8
14/01/2013,2:10:00 p. m.,433.8,434.9,432.3,6.844,7.072,5.7,4671,628.4,4713,60.03,2435,2969,0.820141462,2236,2479,0.901976603,2.225,2.232,2.292,8.038,12.56,10.37,15577.08,77.85,,5287.00,,0.03074558,0.284396618,0.315142198,4.669657423,8.156606852,12.82626427,0.991088479,,0.3,0.4,0
14/01/2013,2:15:00 p. m.,434,434.9,432.3,6.866,7.094,5.709,4687,635.9,4730,60.04,2445,2980,0.820469799,2242,2483,0.902939992,2.217,2.239,2.282,8.095,12.56,10.4,15967.67,78.12,,5270.00,,0.061481709,0.268982478,0.330464187,4.723168438,8.200721948,12.92389039,0.990909091,,0.3,0.5,0.2
